comment,grade,time,area
"作者在漫画中写道：""这是记录而非故事。我只是一直追在她后面，忠实地重现了发生的这一切……她确实在哪里活着"" 千寻小姐啊，更像是一种对待生活的态度。是能放下过去，接受新事物，会对每个人微笑，尽管已经沉到海底。 我们每个人都会遇到这位千寻小姐。 毕竟 ""来自同一个星球的人，总有一天会遇到的吧""",5,2023-02-23 19:44:19,四川
躺在床上看房间的墙上水波粼粼；坐在车里听着雨声然后拥抱；脚浸没在海水里风吹过落日；把大家连结在一起又悄悄地离开。,4,2023-02-24 15:51:32,浙江
宠辱不惊，随心所欲，自如应对周遭人的调侃，毫不避讳特殊的职业经历，千寻小姐像散发着炽烈光芒的天使，照耀着身边每一个不顺的人，同时也像幽灵般孤独的过客，能够有幸与她相遇便已是最好的礼物。我们无法独占一个人的心，也不应该被他人完全占有，去不同的地方，换不同的工作，体验不同的生活，在逆境中也要保持初衷，忠于自我，自由而热烈地活着，我们都是藏在人躯壳里的外星人，来自不同的星球，虽然不能理解彼此，但总有一天能够遇见三两个同类，生活没有迈不过去的坎，感觉累了就像金鱼一样暂时沉入水底休息，下次再以更好的面貌浮出水面。很惯常的日式治愈，在许多金句里窥见细微的人生哲学，高产的今泉力哉又一次稳定输出，村花的表演也愈发从容，舒服得恰到好处，这种理想化角色所带来的失真感，某种程度上也是日影所特有的魅力之一。,4,2023-02-23 23:50:59,四川
中间其实还不错。开头和结尾太悬浮了一点。第一个镜头是女主穿着白裤子跪在地上撸流浪猫。是，我们人类中有些会跪在地上撸流浪猫，我们人类中也有些穿白裤子，但我们不会穿白裤子跪在地上撸流浪猫。,3,2023-02-25 16:24:31,美国
性工作者成为便当店员，与很多人发生际遇，故事本身的话题和切入点是很女性主义的，包括千寻拒绝参加母亲的葬礼，但拍出来却显得有点虎头蛇尾。它是日影一如既往的平淡、碎片，大家的认识相处不需要太多铺垫和逻辑，重点是氛围和感觉，确实拍得很美，可人物本身、人和人之间关系的设置稍显刻意。而且中年男人对千寻的调侃，千寻作为性工作者，渡众人而无法渡己的「新圣女」设定， 也多少让人觉得有点不适。其实除掉千寻性工作者的身份，她一直流浪，一直换工作，一直认识新的朋友，故事本身也成立，性工作者反而成了一种噱头，影片并没有深刻地理解和运用这个职业，这种拍法反而显得有点无病呻吟。另外，导演把村花拍得坚定又疲惫，从容又寂寞的感觉，比《垫底辣妹》又多了一份层次，村花的演员之路是越走越宽了。,3,2023-02-24 13:34:46,广东
吃饭都吃这么干净的人，一定不是坏人。,4,2023-02-23 20:01:13,浙江
《村花美颜暴击合集》，村花把这个角色身上的疲惫感，以及面对其他人时的强装笑颜演绎得很准确。没由来的孤独——也不是没由来，不过要靠观众自己根据小细节去猜测补完。她将永远是孤独的，因为母亲已死，无法去追根溯源解决问题。但她也会永远善良待人，因为她经历过不幸，所以更懂那些人的孤独，以及他们只需要多小的帮助就能重燃希望。各种看似自然实则刻意的解释以及人生哲理很减分。色即是空属实没绷住，怎么外国人纹中国字纹身总是这么喜感……,3,2023-02-23 19:06:12,山东
许多次想流泪的瞬间，千寻是被纯粹与率真包裹传承的称谓，而最终淡淡地剥离出最深邃的孤独，不愿如醉酒版沉溺于美好，所以总是独自悄然不告而别。,5,2023-02-24 03:28:23,宁夏
如果你想大哭一场，请你一定要看！太太太太太治愈了，谢谢你千寻小姐，在疲惫又暂时放松的周五傍晚，让我又感受到了生活的那一点点意义。,5,2023-02-24 22:00:33,陕西
网飞一上线就看了，然而并没有什么惊喜，更像是预告片的加长版。节奏很慢，治愈的很熟悉，但是不深入，就像女主最后的出走一样，轻飘飘都是过客而已。,3,2023-02-23 21:39:14,日本
4 有村架纯真的是在成长为一名优秀女演员的道路上大步前进着，把这个角色诠释得细腻自然。今泉力哉还是最会拍小人物故事的，再平凡普通的人都能透过特定角度都能折射发出耀眼的光。,4,2023-02-23 19:23:00,北京
有村架纯就像“定海神针”一样，能让我集中注意力看完全片。寻常抚慰人心。,4,2023-02-23 22:09:46,江苏
大家都没看过苍井优的《百万元与苦虫女》吗？一模一样的故事只是女主踏上旅途的契机不同。苍井优当时更青春一些，而且那部电影景色更美,4,2023-02-24 08:00:01,美国
有村架纯的纯欲感，特别扎实。另外发觉她与业界神宫寺奈绪特别神似，之前没发现！ 影片前期质感满满，越后期越乏力。故事不抓人，温情感是可以表现更好的。,3,2023-02-23 22:07:40,吉林
设定果然很日本，边缘人治愈主流人，怪怪的活着挺好的,5,2023-02-23 19:12:13,上海
“你怎么知道我走了？” “因为，那种孤独的气氛突然消失了，很难不注意到。” 不幸、孤独且残缺的灵魂，在一连串的经历及身份的转换中最终达成了救赎与补全。 生命里有太多的东西是我们无法掌控的。然而，所谓失去的其实都是风景，留下的才是人生。 “我们都是住在人类身体里，来自不同星球的外星人。而来自同一个星球的人，总有一天会遇见他们。” 她随雨而来，如风轻去。或许，在一起躲过雨的屋檐，会更容易邂逅来自“同一个星球的人”。放下沉重的过去，生活会奖励你一个新的开始。 有村架纯对“千寻”这个角色吃得很透（实际上是对应“边缘人”这个群体；因为被别人温柔对待过，所以想成为温暖别人的一束光），全程演绎堪称浑然天成唯妙唯肖，这次估计是直接奔着大赏去了。,4,2023-02-26 23:02:49,湖北
助演线拍得太鸡肋，全靠村花热演，观感好似是枝裕和那部舞伎家，食之无味，从旬报十佳潜力选手跨到小红书热门vlog，可能只是一念之差……,3,2023-02-23 22:14:58,湖北
这就是寻找到附近性的生活吗,4,2023-02-23 20:38:31,江苏
能在生命中自得其乐的人和不断出走一直孤独的人。为了某天的相遇，我们活在此刻的阳光下 即将到来的夜晚里 还有突如其来的暴雨中。,4,2023-03-10 01:43:31,广东
真好。今泉力哉这次不像侯麦，像瓦尔达，而海边小镇的故事舞台和清新的影像调性也不难让人想起是枝蓝色的那几部。但今泉好就好在对这个时代的人群的捕捉，就连其实演技早已被大众熟知的村花在他的作品里也有不一样的魅力（当然演员本身也付出了很大努力）。千寻小姐，不输给雨，不输给风，在无根的飘摇间，暗自践行着自己的生存哲学，教化着所有委曲在强权之下的同温层——这个角色理想又复杂，真的很难不让人喜欢。总之看完马上想看第二次，也很想玩牧场物语（？），整5星。,5,2023-02-23 22:24:34,广东
电子榨菜，真的治愈。,4,2023-02-23 19:47:45,上海
不要对自己和别人有太多期待，少一些预期确实可以更好接受多变的生活，日式生活纪录片总是这般，夜晚躺在床上看房间的墙上水波粼粼，如鱼一般沉入水底入眠，任何事情都不能打扰；和懂你的人坐在车里听着雨声，诉说心里话，然后温暖的拥抱；无所顾忌的撸猫，和小孩子嬉笑打闹，认真的吃饭，不求回报的帮助别人，性之所至就不带感情的做，脚浸没在海水里看风吹过落日，不断相遇又离开，每次都用不同身份…很多人都向往这样的生活，但真的很难啊~,4,2023-03-15 00:56:32,西藏
不挣扎就会浮起来，乱动的话就会沉下去。,3,2023-02-23 22:32:57,北京
“夜晚站在我们这边”。蓝色是最寂寞的颜色，也是最温暖的颜色。整部电影的滤镜与表现出来的情绪都有一种透明的空气感，令观众在不知不觉间就被治愈了。正因为体会过孤独与痛苦，千寻才能以开阔包容的心去温柔地对待周围所有的人。人与人之间虽然不能完全互相理解，但是就像住在不同外星人身体里的我们，相信着总有一天，会遇到来自同一星球的两三个同类吧？从别人身上得到的“温度”与“能量”，也希望通过自己传递给更多的人；当自己沉入水底，只要“不慌不忙”，终究会浮上水面。面对“生活”这道难题，一旦认输/放弃/逃避，那就完了。每个人看上去都是漫不经心，其实都竭尽全力地活着，只是有些时候需要旁人一点点支撑。真好啊，村花能接到这样一部日后可以称为代表作的电影～真好啊，村花已经完全成为了能够独当一面，了不起的女演员了～,4,2023-02-23 21:24:40,江苏
又名《女菩萨2：从良》参考影片《前科者》,4,2023-03-07 07:38:38,浙江
今年的一个小惊喜。因为看这部电影的时候太适合搭配一罐啤酒了，所以会觉得选择上网飞、而没上院线是一件挺好的事情（虽说也遇到过不少在影院里喝啤酒的观众）。如果有人向我介绍一部影片的主角，是一个像幽灵一样的人，我一定会觉得这部影片和演员的表演是神神叨叨、附加很多矫情姿态的；不过这部作品，却可以把这样的人刻画得如此温暖、真实，还不失灵气与趣味，实在是很见功力，也可以说「千寻小姐」应该是近几年最让我记忆深刻的电影角色之一了。作为几乎部部作品不落的村花粉，我觉得她在这部影片中又实现了一种前所未有的突破，也许从来没有人用天赋型演员来形容她，但是能做到一直默默地努力与积累，就是一种极高的天赋。,4,2023-02-28 22:49:23,北京
慰安题材典中典：女主呼朋引伴，教化女性被压榨一切仍要慰安天下男性，给男乞丐买饭洗澡，给lgbt男当闺蜜，给暴力男当炮友，给皮条男当女儿卖身，给辱女小男孩当妈……全片没有一个付出方是男性，全片没有一个受益方是女性。,1,2023-02-26 13:15:08,河南
有时候会觉得日式小清新的这种风格会消解电影里展示的社会问题，看前半部分的时候觉得女主角哪里是什么从良小姐啊，分明是下凡来开解众生烦恼的女菩萨嘛。看到后半部分观感稍好了一点，觉得这大概也是一种日本电影的风格吧，用一种云淡风轻的无所谓姿态去看待自己无能为力的生活苦难。这类的电影就全看能不能恰好触动你的心弦。像《小森林》属于刚好在我北漂最迷茫的时候，在都市和家乡都找不到自己的归处，看《小森林》就很有共鸣，而这片讲述“无处安放的孤独”，于我此时的心绪就没那么强烈。中川雅也在《桃花期》里好像就是那种特别猥琐但又很懂女人的老头形象，这么多年演起来还是令人信服。你就是相信，如果是他的话，美女对他投怀送抱是说得通的。,3,2023-02-27 20:17:32,北京
你们真的很喜欢妓女变圣女的故事，也是真的喜欢强调一个拥有“肮脏”身体的女人有多么美好而纯洁的灵魂。我把这种题材当做男性凝视下的巨婴想象。不刻意强调她的过去和职业，也不需要所谓的“治愈”，别矫情，正常一点可以吗？,2,2023-03-01 22:14:52,山东
3.6星。最后的结尾，在便当店的工作经历覆盖了前一段的履历，重获新生了。,4,2023-03-08 14:39:15,上海
强行将性工作者塑造成天使也是一种俗不可耐,2,2023-03-06 21:41:57,上海
做作了 没有感动到,3,2023-02-24 01:22:47,北京
风俗风光片,3,2023-02-23 19:52:05,广西
最后的那句话，像是用便当店的身份洗掉了小姐的工作。千寻是个四处流浪的人呐。,4,2023-02-25 23:30:53,北京
人生的中场休息，一个疲惫女孩的自我重建。影片建立了七段人物关系，远观是一个海港小城的女性友好同温层，近看其实是千寻为自己选择和重建的家人与家庭，这里有父亲、母亲，也有朋友、弟弟妹妹，甚至“不需要恋爱”的男友，这也成为全片最大的优点，即完全从女性视角出发构建的强调女性自我感受的生态圈。但有村架纯和今泉力哉，太想拍出女主千寻的“深不可测”，反而过犹不及，千寻这个角色很明确地指向那些生活中城府深又心灵纯洁的人物，可有村架纯的演绎始终是一副“比你多想一步”的样子，但实际上编导并没有在戏里给出这“一步”到底是什么，自我建立起“家庭”再分离，片中也并未给出这样做的意义何在，最大的问题是人物关系看似繁多，但由于每条线都处理的不温不火，实际生活勾连感很弱，最后反而滑向了一种孤芳自赏的造作。,2,2023-02-24 23:32:33,上海
喜欢今泉力哉，所以忍不得这样的庸作。不得不说，今泉的原著改编作品都很难看：之前的《一首小夜曲》就是如此，哪怕原著作者是我蛮喜欢的伊坂幸太郎。今泉力哉是侯麦那类文学性重的导演，他的作者性更多不靠镜头语言实现，而需要对剧本的人物关系、对白、城市背景设置完全掌控，才有可能拍出那种纤细纠缠又充满奇思妙想的好故事。一句话：笔给他，他来写。一旦失去这些空间交一份流水线作业，他会跟如今那个拍舞伎家的料理人的是枝裕和一样平庸。顺便一说，围绕千寻小姐的人们几乎都快组成散装家庭了，干脆组装完全小偷家族起来或许还能骗个奖。也许是故事里太多人物的困境都归咎到原生家庭，看完忽然想念《无人知晓》，埋了妹妹那段宝石，回去拉片仍然好哭。,2,2023-02-26 00:37:07,北京
在一个阳光明媚的早晨看到热泪盈眶。在我的理解中，电影探讨的主题是，人和人之间是否有相互理解的可能性。“我们都是住在人类身体里的外星人”，在一个不适合的环境里生存，在地球上徒劳地寻找同类。流浪汉，失明者，卑微的女儿，独来独往的学生，跨性别者，被忽视的孩子，酒馆的男人，这个世界上七零八落着不被理解的灵魂。千寻作为主角，串起了这些故事，她发现了这些失落的外星人，再一个又一个拾起他们碎裂的心。千寻也曾是一个淋雨的人，也曾在雨中得到过另一些灵魂的拥抱，所以现在带着别人在雨中出逃。好喜欢电影里的这些角色，他们都有着孤独却生动的灵魂。以及以及，喜欢这部电影的人，我们大概来自同一个星球～,5,2023-02-26 11:11:31,浙江
路上捡个老头，带回家给他洗澡😅😅😅,1,2023-02-27 18:41:32,四川
间接合理化、美化日本配酒小姐现象，忽视背后的原因、无奈和社会伤痛。千寻确实治愈了别人，也“洗白”了自己。剧情上碍于文化差异，个人是会有一些不适的地方。说到底都是日本电影也在给自己的社会搞“自圆其说”，尽力在确实存在且短时间无法改变的社会语境下做一些他们认为的“正能量”感化，也就是所谓的治愈吧。,3,2023-03-11 18:01:46,北京
来自同一个星球的人 我总有一天会遇见他们 对吧？,3,2023-02-23 20:25:34,吉林
别的都可以忍，但为什么美化店长这个老鸨男人😅都快塑造成精神导师了…还有千寻“店长就像我父亲一样”的言论…不愧岛国，无语子,2,2023-02-28 22:06:27,日本
整部电影就像千寻一样缓慢轻柔地在城市里偶遇 “来自同一个星球” 的人后再飘流再相遇以此循环。为什么要独占别人的心和被别人独占？开阔内心和思维才能获得真正的快乐和享受独处与陌生人暂时的情感连接的无限乐趣。要珍惜那些吃饭不剩饭尊重享受食物的、帮助流浪老人的，救助小昆虫的人，这些人在当今正在濒临灭绝。,5,2023-02-27 22:57:09,北京
没看过原作漫画，仅影片而言，我很喜欢。治愈是相互的，孤独感是不可能彻底消失的，但一切又是充满希望的。,4,2023-03-03 11:35:41,日本
日本好会拍，能感动这么多坏男人和蠢女人。一些用温情掩盖日本女性贫困现状的虚伪。以及所有同意卖淫合法的人在我看来都该下地狱。,1,2023-02-28 21:03:30,广东
Netflix. 起手十分鐘已經忍不住眼淚office沒人差點嚎啕大哭 「我們都是住在人類身體中的外星人，我們都來自不同的星球，所以無法理解彼此是當然之事」 「不要害怕，夜晚可是我的夥伴啊」 孤寂的人總能一眼認出其他孤寂的人只需要一點點溫暖就能獲得救贖，只吃三文魚便當一旦有人關心就瘋狂傾倒自己人生的男人，探望便當店那位一輩子辛勤工作卻瞎了長期住院病人，被小學生圍攻的流浪老漢角落攤死，為了合群勉強自己去喜歡一些不太感興趣事物的女子高中生透過偷拍小區裡謎樣美女去消解無可言說的苦悶，典型日式放置缺失家庭中成長的頑皮小男孩，透過漫畫學世界的長缺同學，每一個坍塌的內心透過千尋桑為生活增添色彩，如同沙漠甘露逐漸連接成小小稱不上綠洲的水源，其中心的千尋桑也在渡過著陰鬱又陽光的半明半暗日子呢,4,2023-02-24 12:47:27,英国
埋完师父埋海鸥，本职杀手色即空，无味的华丽料理和最好的炒面，饭团换的橡子，雨夜的便当，悄悄离场的人带走了寂寞。-剥栗子的乐趣让我重新爱上你。-你是想念千寻了吧。金泉力哉一贯的平静美好小城生活，不错,5,2023-03-06 21:16:38,北京
村花死忠粉表示期待 好喜欢 里面的演员也都喜欢。庆幸之前看过《偶然与想象》，认出一个演员并且体会到她的多样性的感觉实在太美妙了。,5,2023-03-24 23:44:05,江苏
古龙笔下七种武器：笑、信心、诚实、仇恨、戒骄、勇气、不放弃，漏了千寻小姐的孤独。。。她应对所有人的那份自如和自信是从娘胎里带的还是后天练的？厉害。有村架纯可以的。。。,4,2023-03-03 15:20:59,北京
看起来清新愉快，并没有什么让人深思的东西。像是小偷家族的放大版，家庭不和睦大家族。,3,2023-02-23 19:58:10,山东
或许有的电影真的需要上一上年纪才能咂摸个中滋味——倒也不必太过倚老卖老年过三十略有些感触即可——那种一个人不知是忍受还是享受甚至逆来顺受所谓“孤独”的处境与心境——莫名其妙就倾轧而来的“生”的压力与“活”的疲累不停在脑海席卷起汹涌的情绪巨浪——于震耳欲聋间寻隙沉默或在凌乱狼藉中与世隔绝来试图找回“存在”的本质——那“千寻”可解释为寻找一千种填补空白灵魂的办法里那个最优解——大概就是极力奉献自己的良善去消弭别人的苦难吧。,4,2023-02-27 12:47:11,山东
有点辜负了我的期待…很乏味…,3,2023-02-25 16:43:07,上海
剧情和人设都稍微有点刻意，观感没有预期里那么好，但还是有一些触动到我的地方，就还蛮喜欢这种悠闲中带着伤感的调调，今泉力哉把村花拍得很漂亮，继垫底辣妹之后久违的又被她美到,3,2023-02-23 21:04:53,河北
意外的还行，喜欢女人吃小女孩做的寿司然后拉手手再见那幕 很平常的行为但绝对不会在现实发生的超现实感。虽然对日本那种沉浸式地自我感动式的表演从讨厌至无所谓了。btw，这片子把男的拍得都好矬，哈哈。结尾有点无聊，这种电影就应该戛然而止。非要再弄个好似“大团圆”似的结局有点无聊了。。,3,2023-02-24 11:33:40,北京
像是另一种形式的《小偷家族》，人与人有的时候即使是面对面，但是心意却也不能相通，能遇见和自己是相同星球的人当然会是很幸福的一件事情。千寻也许一直都会是一个人，但是对于其他人却是他们自己星球的同类。村花演的看起来真舒服，令人如沐春风。,4,2023-03-08 20:19:15,江苏
霓虹没救了，文化全面倒退，为什么风尘女不能中彩票发大财开始新生活？隔壁亚裔五十岁阿姨都开始拯救世界了，这边2023年还让受害者救加害者，用爱感化垃圾！好恶劣的性幻想，你们都去亖就是绿化世界了,1,2023-03-19 23:59:03,广东
属于日本的《鲸》。绝对孤独的人又一次拯救了所有人。,3,2023-03-03 10:02:11,北京
好做作刻意的人设和剧情，，只对佐久间由衣饰演的高高瘦瘦如一头狮虎般盛气凌人的单亲妈妈有点印象,2,2023-02-26 02:54:23,陕西
节奏稀释了情节，平淡到有些乏味，大部分时间都比较煎熬，但看到收尾段落还是有些感动。世界上散落着来自孤独星的人，他们隐藏在人的身体内，像浮萍一样聚散着，短暂的依偎过后再重回孤独。,3,2023-02-25 12:35:24,北京
一部小片子，却包含了这个独特星球的女人，从风俗店到金鱼店，到便当店再到奶牛场的人生。即使孤独，她也给别人送去了很多温暖，比如来自单亲家庭的小城，来自压抑家庭的女中学生，流浪汉“师父”，爱和师父一起看漫画的女中学生，眼睛失明的便当店老板娘。真是应了：特别关心别人的人，正是因为内在极度孤独啊。特别爱看直播吃饭视频的人，也永远不能享受自己眼前美餐。,4,2023-03-07 09:07:34,江苏
【C】有种女性版《横道世之介》的感觉，奉献自己，关怀他人，因为体会过孤独的无助，所以不想别人也遭遇同样的事。在某种意义上是和前者有异曲同工的，那就是都塑造了一个如“天使”一般的人物，她(他)们无私奉献、不求回报，有种想要消除众生苦难那样的人生方向，尽管她(他)们个体的力量渺小得微不足道，却依然愿意施以援手，去帮助那些正被黑暗笼罩的人们，即使燃烧自己也要点亮一丝微光，照亮快要迷失之人前进的方向，或许这道光会很微弱 暗淡，但只要还在就能让更多的人重拾生活的希望。 愿我们的人生中都能遇到“千寻小姐”和“横道世之介”这样的人，哪怕只是匆匆过客，也会在我们的人生中留下有一段永远难忘的记忆...,3,2023-02-27 20:01:44,浙江
女性没必要去拯救一些没用的男人，更没必要原谅老鸨这种加害者还把他当父亲…好蠢，不要当圣母，先自爱自强吧,1,2023-03-20 02:09:04,安徽
我将通称此类日影为孤芳自赏的贞节牌坊,1,2023-02-28 18:41:38,新加坡
有村妹子演的真好啊,4,2023-03-02 00:08:43,北京
那种蔓延开来的孤独感很真实，仿佛是飘在生活之外。我们好像大部分时间都只能知道自己和谁一定不是住在一个星球的外星人，但是找不到住在一个星球的人。,3,2023-03-01 13:59:51,北京
下贱的v人,1,2023-03-20 10:39:18,浙江
“我们都是住在人类身体里的外星人，来自不同的星球，难怪无法理解彼此。”孤独感是与生俱来的，但“总有一天会遇到来自同一个星球的人”。故事很松散，但有村架纯驾驭了日式的丧与治愈，每一个表情都很舒服。,3,2023-03-20 21:53:40,山东
村花摄休加长版。今泉力哉拍这样的剧本太信手拈来了吧，但故事人设及里面的道理都有点过于漂浮了。,3,2023-02-24 12:58:18,浙江
《女人们的谈话》不及预期，《千寻小姐》观感倒还不错：1.在现实生活中，妓女对于某些人来说就是一种赚钱为生的“工作”，并没有世俗观念里想的那么龌龊；2.不先报警而是直接把突然去世的流浪汉掩埋了，日后尸体被别人意外发现不知会怎样？3.与家人断绝关系，即使突然联系上得知母亲逝世也不打算回去参加丧礼；4.自己的好心举动在别人眼里可能变成坏意；5.人生路上，各站停靠；…… -17038,4,2023-03-08 03:08:25,福建
翻译错误好多，关于醉的那部分台词也没翻好，有点影响理解最后离开的原因。就像不擅长喝酒一样不擅长不孤独的生活，快乐过头的话，会因这种沉醉感到害怕。代代继承的千寻称号，真不错。除去日式鸡汤的部分，孤独的部分和相遇的部分很喜欢。,4,2023-02-24 02:29:43,广东
23/2/2023 @ 新宿武藏野館。估唔到有村都做到果種看透世事又帶點飽歷風霜既感覺，可惜由中段開始無乜點用便當店去講故事，削弱左其中一樣我好鍾意漫畫原作既元素,3,2023-02-23 15:18:52,日本
3.9 因循聚散。不能磨灭的孤独感。新的连接能赋予新生。,comment-time ,2023-03-09 08:08:38,北京
漫改作品让导演的创作失去了此前复杂细腻若不经意的蓬松感，搭建故事环境、让人物拥有自在的生长性才是今泉力哉作品的迷人之处。全片最爱猫猫，因为它不必被扣上受难于原生家庭的精神枷锁。人如何成长为当下的自我是复杂的，人与人联结的点亮更是微妙但有缘可循的，将一切简单化又加入风俗业的噱头，费劲写群像又全员动机坍塌。村花过于精致拿捏摆造型，宛若女明星真人秀的体验之旅。,2,2023-02-26 00:31:15,北京
经典日本漫改拍法 主要看点是村花的性感睡衣（× 另外网飞的官方中字很差,3,2023-02-27 23:35:56,上海
今泉的原创作品一向以文学性见长，擅于勾勒群像关系在一定的地域、时空、城建内的交互，捕捉自然情绪流与漂浮不定的独感。像这种框架既定的漫改则太限发挥，成品宛如每年量产的日式流水治愈片，人物间的互动始终透着悬浮。女主更像男权凝视下臆想的圣女，燃烧自我奉献他人，就算强拉孤独当人生底色，呈现给人的感觉依旧空心。有村架纯顶多算能把角色特质演绎出60%的努力型选手，但其演技绝对没达到能称优秀两个字的程度，日本90那拨没混出头的大把，只能说她事业心比较稳固。,3,2023-03-04 13:37:43,湖北
一方面，喜欢村花的演绎，喜爱以千寻为核心辐射所有角色——各路人物粉墨登场，并因此建立基于小镇的“千寻宇宙”。但另一方面，角色虽多，但故事潦草。焦点百转千回后，又落到千寻的孤独上，没有更具趣味性的串联，主线似有若无，深度与商业两手都不硬，终究过于孤芳自赏。过于侧重营造神秘感的千寻，好像做了什么，但其实什么都没做，共情上甚至不如NPC。,2,2023-02-25 15:45:10,广东
某些人梦想中的圣娼,1,2023-03-19 21:29:24,德国
我们也许都是住在人类身体里的外星人，彼此来自不同的星球。孤独的千寻，就像一颗小小的恒星，用光芒去温暖那些同样孤独的小星球。当千寻每一次向陌生人发出善意时，银幕外的我们同样也会被这种善意所感动。想想今天互联网上遍地戾气的网暴和恶意，这样的电影还真让人感到惭愧。毕竟，我们每个人都不是造成今天这种局面的旁观者。,5,2023-02-26 18:34:41,上海
谢谢千寻小姐，让我在一个美好的周日下午度过了两小时爱与孤独并存的时光。,5,2023-03-12 16:57:19,新加坡
