comments,grade
躺在床上看房间的墙上水波粼粼；坐在车里听着雨声然后拥抱；脚浸没在海水里风吹过落日；把大家连结在一起又悄悄地离开。,4
宠辱不惊，随心所欲，自如应对周遭人的调侃，毫不避讳特殊的职业经历，千寻小姐像散发着炽烈光芒的天使，照耀着身边每一个不顺的人，同时也像幽灵般孤独的过客，能够有幸与她相遇便已是最好的礼物。我们无法独占一个人的心，也不应该被他人完全占有，去不同的地方，换不同的工作，体验不同的生活，在逆境中也要保持初衷，忠于自我，自由而热烈地活着，我们都是藏在人躯壳里的外星人，来自不同的星球，虽然不能理解彼此，但总有一天能够遇见三两个同类，生活没有迈不过去的坎，感觉累了就像金鱼一样暂时沉入水底休息，下次再以更好的面貌浮出水面。很惯常的日式治愈，在许多金句里窥见细微的人生哲学，高产的今泉力哉又一次稳定输出，村花的表演也愈发从容，舒服得恰到好处，这种理想化角色所带来的失真感，某种程度上也是日影所特有的魅力之一。,4
吃饭都吃这么干净的人，一定不是坏人。,4
中间其实还不错。开头和结尾太悬浮了一点。第一个镜头是女主穿着白裤子跪在地上撸流浪猫。是，我们人类中有些会跪在地上撸流浪猫，我们人类中也有些穿白裤子，但我们不会穿白裤子跪在地上撸流浪猫。,3
4 有村架纯真的是在成长为一名优秀女演员的道路上大步前进着，把这个角色诠释得细腻自然。今泉力哉还是最会拍小人物故事的，再平凡普通的人都能透过特定角度都能折射发出耀眼的光。,4
性工作者成为便当店员，与很多人发生际遇，故事本身的话题和切入点是很女性主义的，包括千寻拒绝参加母亲的葬礼，但拍出来却显得有点虎头蛇尾。它是日影一如既往的平淡、碎片，大家的认识相处不需要太多铺垫和逻辑，重点是氛围和感觉，确实拍得很美，可人物本身、人和人之间关系的设置稍显刻意。而且中年男人对千寻的调侃，千寻作为性工作者，渡众人而无法渡己的「新圣女」设定， 也多少让人觉得有点不适。其实除掉千寻性工作者的身份，她一直流浪，一直换工作，一直认识新的朋友，故事本身也成立，性工作者反而成了一种噱头，影片并没有深刻地理解和运用这个职业，这种拍法反而显得有点无病呻吟。另外，导演把村花拍得坚定又疲惫，从容又寂寞的感觉，比《垫底辣妹》又多了一份层次，村花的演员之路是越走越宽了。,3
有村架纯就像“定海神针”一样，能让我集中注意力看完全片。寻常抚慰人心。,4
"作者在漫画中写道：""这是记录而非故事。我只是一直追在她后面，忠实地重现了发生的这一切……她确实在哪里活着"" 千寻小姐啊，更像是一种对待生活的态度。是能放下过去，接受新事物，会对每个人微笑，尽管已经沉到海底。 我们每个人都会遇到这位千寻小姐。 毕竟 ""来自同一个星球的人，总有一天会遇到的吧""",5
大家都没看过苍井优的《百万元与苦虫女》吗？一模一样的故事只是女主踏上旅途的契机不同。苍井优当时更青春一些，而且那部电影景色更美,4
《村花美颜暴击合集》，村花把这个角色身上的疲惫感，以及面对其他人时的强装笑颜演绎得很准确。没由来的孤独——也不是没由来，不过要靠观众自己根据小细节去猜测补完。她将永远是孤独的，因为母亲已死，无法去追根溯源解决问题。但她也会永远善良待人，因为她经历过不幸，所以更懂那些人的孤独，以及他们只需要多小的帮助就能重燃希望。各种看似自然实则刻意的解释以及人生哲理很减分。色即是空属实没绷住，怎么外国人纹中国字纹身总是这么喜感……,3
许多次想流泪的瞬间，千寻是被纯粹与率真包裹传承的称谓，而最终淡淡地剥离出最深邃的孤独，不愿如醉酒版沉溺于美好，所以总是独自悄然不告而别。,5
如果你想大哭一场，请你一定要看！太太太太太治愈了，谢谢你千寻小姐，在疲惫又暂时放松的周五傍晚，让我又感受到了生活的那一点点意义。,5
“你怎么知道我走了？” “因为，那种孤独的气氛突然消失了，很难不注意到。” 不幸、孤独且残缺的灵魂，在一连串的经历及身份的转换中最终达成了救赎与补全。 生命里有太多的东西是我们无法掌控的。然而，所谓失去的其实都是风景，留下的才是人生。 “我们都是住在人类身体里，来自不同星球的外星人。而来自同一个星球的人，总有一天会遇见他们。” 她随雨而来，如风轻去。或许，在一起躲过雨的屋檐，会更容易邂逅来自“同一个星球的人”。放下沉重的过去，生活会奖励你一个新的开始。 有村架纯对“千寻”这个角色吃得很透（实际上是对应“边缘人”这个群体；因为被别人温柔对待过，所以想成为温暖别人的一束光），全程演绎堪称浑然天成唯妙唯肖，这次估计是直接奔着大赏去了。,4
这就是寻找到附近性的生活吗,4
能在生命中自得其乐的人和不断出走一直孤独的人。为了某天的相遇，我们活在此刻的阳光下 即将到来的夜晚里 还有突如其来的暴雨中。,4
网飞一上线就看了，然而并没有什么惊喜，更像是预告片的加长版。节奏很慢，治愈的很熟悉，但是不深入，就像女主最后的出走一样，轻飘飘都是过客而已。,3
有村架纯的纯欲感，特别扎实。另外发觉她与业界神宫寺奈绪特别神似，之前没发现！ 影片前期质感满满，越后期越乏力。故事不抓人，温情感是可以表现更好的。,3
电子榨菜，真的治愈。,4
不要对自己和别人有太多期待，少一些预期确实可以更好接受多变的生活，日式生活纪录片总是这般，夜晚躺在床上看房间的墙上水波粼粼，如鱼一般沉入水底入眠，任何事情都不能打扰；和懂你的人坐在车里听着雨声，诉说心里话，然后温暖的拥抱；无所顾忌的撸猫，和小孩子嬉笑打闹，认真的吃饭，不求回报的帮助别人，性之所至就不带感情的做，脚浸没在海水里看风吹过落日，不断相遇又离开，每次都用不同身份…很多人都向往这样的生活，但真的很难啊~,4
“夜晚站在我们这边”。蓝色是最寂寞的颜色，也是最温暖的颜色。整部电影的滤镜与表现出来的情绪都有一种透明的空气感，令观众在不知不觉间就被治愈了。正因为体会过孤独与痛苦，千寻才能以开阔包容的心去温柔地对待周围所有的人。人与人之间虽然不能完全互相理解，但是就像住在不同外星人身体里的我们，相信着总有一天，会遇到来自同一星球的两三个同类吧？从别人身上得到的“温度”与“能量”，也希望通过自己传递给更多的人；当自己沉入水底，只要“不慌不忙”，终究会浮上水面。面对“生活”这道难题，一旦认输/放弃/逃避，那就完了。每个人看上去都是漫不经心，其实都竭尽全力地活着，只是有些时候需要旁人一点点支撑。真好啊，村花能接到这样一部日后可以称为代表作的电影～真好啊，村花已经完全成为了能够独当一面，了不起的女演员了～,4
